SKU	Title	Author	Rarity	Collection
2F9272C06122048B776B6CD6660F08AF	Sense and Sensibility	Jane Austen	C	Jane Austen
60BC3600A1FA26F52C19F66925176805	Mansfield Park	Jane Austen	U	Jane Austen
0780E5AD92F78F3B9A957641E211654D	Northanger Abbey	Jane Austen	U	Jane Austen
A5015DDCA49F7BD3FF4ECCF22D74BE68	Persuasion	Jane Austen	R	Jane Austen
AD73F9D4C70CE00F73ED8BAEF13AD669	Lady Susan	Jane Austen	R	Jane Austen
17BE30BCA769D57A2391BE9C1D98C41E	Emma	Jane Austen	SR	Jane Austen
500F2FA468EC497027AE3C1D3EC8652B	The Beautiful and Damned	F. Scott Fitzgerald	C	F. Scott Fitzgerald
D55E71A6513798060156BF45C7F8C6D1	Flappers and Philosophers	F. Scott Fitzgerald	U	F. Scott Fitzgerald
96CCB748037844F10A2BEB279CD03676	Tales of the Jazz Age	F. Scott Fitzgerald	R	F. Scott Fitzgerald
B6190283F470716D710F13057C3BFF2C	This Side of Paradise	F. Scott Fitzgerald	SR	F. Scott Fitzgerald
AE96CB1CE8CECF32718E8FFDA6DAD87B	Anna Karenina	Leo Tolstoy	C	Leo Tolstoy
2839C14C8F084B948B2EEBCA76EE6F63	War and Peace	Leo Tolstoy	C	Leo Tolstoy
9C36D7545D5481881804B995D0224B19	Resurrection	Leo Tolstoy	C	Leo Tolstoy
BA31BC7FF916EC65403EBC76A42186BE	Childhood	Leo Tolstoy	C	Leo Tolstoy
A3726486F01BFEEDC66F122B4BD19B04	Boyhood	Leo Tolstoy	C	Leo Tolstoy
F103571A87B451EB3F60504971DE66EA	Youth	Leo Tolstoy	U	Leo Tolstoy
BE0BF11CD1429523BC1A23E0B0E5E80A	Family Happiness	Leo Tolstoy	U	Leo Tolstoy
0E84BE4A1747F4AA14E3D3271F9D6DC2	The Cossacks	Leo Tolstoy	U	Leo Tolstoy
BF57CF26D1D82C769A4E2F26DB4B6DFC	The Death of Ivan Ilyich	Leo Tolstoy	U	Leo Tolstoy
BEE47A45470EC82FA4F54839DEE10973	The Kreutzer Sonata	Leo Tolstoy	R	Leo Tolstoy
46663A0E8D5F2E0B740F555438DDF035	The Devil	Leo Tolstoy	R	Leo Tolstoy
7DD3C7378BF6DDCDC3CEF7C03A68676F	The Forged Coupon	Leo Tolstoy	SR	Leo Tolstoy
C517D023FD139D21F3EC9DBC6561A495	Jacob's Room	Virginia Woolf	C	Virginia Woolf
04CFB237B60096D02CF314C3CCB076BB	Monday or Tuesday	Virginia Woolf	C	Virginia Woolf
304AAE12145B86A97BAD6E373E11A45A	Night and Day	Virginia Woolf	U	Virginia Woolf
25FF3AE0C3BB685DD2FA243F7D2ED661	The Voyage Out	Virginia Woolf	R	Virginia Woolf
665EF77EE46CAFD4698CB08100AFAC97	The Murder on the Links	Agatha Christie	U	Agatha Christie
67203290E4368295B6D05E00BD86B919	The Mysterious Affair at Styles	Agatha Christie	R	Agatha Christie
D12FA942AD7BF25DA7F5CEB09CE4D44F	The Secret Adversary	Agatha Christie	R	Agatha Christie
BB20890CCFEBCAA424926E212A22C4DA	Moby Dick	Herman Melville	C	Herman Melville
7BE6E3012E528ADEFABA90956026841F	Typee: A Peep at Polynesian Life	Herman Melville	C	Herman Melville
9BD9B07E7B94CA1BBD63EAA7866693F4	Omoo: A Narrative Adventure in the South Seas	Herman Melville	C	Herman Melville
C3D282632D5F9969E94C34CF3BB760B4	Mardi: And a Voyage Thither	Herman Melville	C	Herman Melville
D7ECE2280577E59254B01F4C30E290A3	Redburn: His First Voyage	Herman Melville	U	Herman Melville
45DF8096A04C3484B2E7AC775E747A98	The World in a Man-of-War	Herman Melville	U	Herman Melville
617A85E9A8B221296CD11C7FFFF51A97	Israel Potter: His Fifty Years of Exile	Herman Melville	U	Herman Melville
4B789380E1F370CC6672FE40CC7DB6B1	The Confidence Man: His Masquerade	Herman Melville	R	Herman Melville
8C1264B6E733D9A334222E82DA188DC3	The Ambiguities	Herman Melville	R	Herman Melville
06820DB92A1012E303FB77404E8F96FF	Billy Budd, Sailor	Herman Melville	SR	Herman Melville
1AA47171D8193EE25B1C2AF8B3DC9E07	Isle of the Cross	Herman Melville	SR	Herman Melville
7B93AC82136A2842C9D26561C1B094FF	Crime and Punishment	Fyodor Dostoyevsky	C	Dostoyevsky
B1811F3FCDF8361F081CE1A673159B29	The Brothers Karamazov	Fyodor Dostoyevsky	C	Dostoyevsky
6D3F80A55DE1A2A67EBA0ADE209C752D	The Gambler	Fyodor Dostoyevsky	C	Dostoyevsky
B5767E2A0D1A2B34570EF00A3C9BF051	The Double	Fyodor Dostoyevsky	C	Dostoyevsky
6F9FDB7DE4B41ADF0F4495C416C37753	The Landlady	Fyodor Dostoyevsky	U	Dostoyevsky
BB3473E39A7D017973BE8D3A1A54F956	Uncle's Dream	Fyodor Dostoyevsky	U	Dostoyevsky
5508C972739AE34B9FA6A6E84209BF30	Humiliated and Insulted	Fyodor Dostoyevsky	U	Dostoyevsky
135B3A2FFA4CABE7CCCAC6AD292629A9	The House of the Dead	Fyodor Dostoyevsky	R	Dostoyevsky
E74C2E087D04AD9D9973C4E6F55C2B89	Notes from Underground	Fyodor Dostoyevsky	R	Dostoyevsky
4D44AF68A804B2D0FEF1BF54B25CD1C0	The Eternal Husband	Fyodor Dostoyevsky	R	Dostoyevsky
742981FFF898540B1305981616471ADD	Demons	Fyodor Dostoyevsky	SR	Dostoyevsky
45D1E2A36F697EBD604B8AF26EFF8C39	The Adolescent	Fyodor Dostoyevsky	SR	Dostoyevsky
CA7F2026DC504ADF77044BEE33D8D5A6	The Picture of Dorian Gray	Oscar Wilde	C	Oscar Wilde
6F7E745DAD0787EF7DDA0997A578A52B	An Ideal Husband	Oscar Wilde	C	Oscar Wilde
0E4D07458E39418A8DFED4286EBEEA0D	The Importance of Being Earnest	Oscar Wilde	C	Oscar Wilde
9431814457608965CE2543C34DE1A9AF	The Canterville Ghost	Oscar Wilde	U	Oscar Wilde
5E7F94537A2754DBA18BFAADA2A01B4A	De Profundis	Oscar Wilde	U	Oscar Wilde
C06CD0D4841556B98292F3A255917E4D	The Dutchess of Padua	Oscar Wilde	U	Oscar Wilde
35E8C4F44B96A0A2FB0FBE2A4D730542	The Happy Prince	Oscar Wilde	R	Oscar Wilde
F1051933CF7845D9EFCEB9D892F53E52	Salomé	Oscar Wilde	R	Oscar Wilde
3BE402029854CD2CA0DA09BD295313C7	The Trial	Franz Kafka	C	Franz Kafka
1FE43F3F347A67378DCE8B83E77C09A8	The Metamorphosis	Franz Kafka	C	Franz Kafka
5A1ECE5AB9CE79364A211CE5C0D765AF	In the Penal Colony	Franz Kafka	C	Franz Kafka
4EEE948E02E6A937E670AB41291679D6	A Hunger Artist	Franz Kafka	C	Franz Kafka
F4E651C2986F8DF020A499CD55D5CEC2	The Castle	Franz Kafka	U	Franz Kafka
5917AFAC1B6B6E526E7114A6A0C3E79E	Letter to His Father	Franz Kafka	U	Franz Kafka
7CF31A1A267FC49713FBDE316F30D9A9	Amerika	Franz Kafka	U	Franz Kafka
75E1D051A53AAB99FAB64E35919DD816	A Country Doctor	Franz Kafka	R	Franz Kafka
430C3AE01A3B8A0C5D87E8C701D6C4A4	The Burrow	Franz Kafka	R	Franz Kafka
A45C927D90BF4AF098960FF61902A883	Contemplation	Franz Kafka	SR	Franz Kafka
999C5972F648F021EF21D9259F599CED	Investigations of a Dog	Franz Kafka	SR	Franz Kafka
71A3F905D1E16D988F95153ACBEFE65A	20,000 Leagues Under the Sea	Jules Verne	C	Jules Verne I
DFAFBAADB052AB0918FFC3C47C7C2301	Journey to the Center of the Earth	Jules Verne	C	Jules Verne I
B41C6CE6D3D79FAB7550B22F3182FB6B	Around the World in Eighty Days	Jules Verne	C	Jules Verne I
A273E4701CC9C128CE115055BD33F20F	The Mysterious Island	Jules Verne	C	Jules Verne I
EC45C36E996FB983938D76569D2A31E1	From the Earth to the Moon	Jules Verne	C	Jules Verne I
286E1CD4C9768F492A20906267B2D05C	Five Weeks in a Balloon	Jules Verne	U	Jules Verne I
A0E8D0C828BE7B64D2720DEA8494912F	Around the Moon	Jules Verne	U	Jules Verne I
B154DF2C3E66FF5643404278D762EA01	Master of the World	Jules Verne	U	Jules Verne I
F389780E5AC652DA6280AC149CF1B056	Michael Strogoff	Jules Verne	U	Jules Verne I
9F4EA4395583A940341358F965F90084	In Search of the Castaways	Jules Verne	R	Jules Verne I
3E0DCFA71092501043CA46F73F96A880	Robur the Conqueror	Jules Verne	R	Jules Verne I
082BD0F17ABD3DD5E41F4B6EB817E3E9	Off on a Comet	Jules Verne	SR	Jules Verne I
96BB58DF419F5655D46A7405F18E3019	Eight Hundred Leagues on the Amazon	Jules Verne	C	Jules Verne II
B16B882CECCAE9E30773EFBBC558498C	The Purchase of the North Pole	Jules Verne	C	Jules Verne II
247A7C0BA762601AE24E39EAABB5F12D	The Begum's Fortune	Jules Verne	C	Jules Verne II
9FC7919C7CE3407791BF8593335C03EF	An Antartic Mystery	Jules Verne	C	Jules Verne II
A3B1E80F4DD31B4F8FB0617167FD958A	Propeller Island	Jules Verne	C	Jules Verne II
7D97142EE32FA917BF916D53376D098D	Lighthouse at the End of the World	Jules Verne	U	Jules Verne II
117AA22C64E08EDF5EED757BC3091C21	The Chase of the Golden Meteor	Jules Verne	U	Jules Verne II
FA2CC5AC085A41C0041D84C8C6736265	Facing the Flag	Jules Verne	U	Jules Verne II
233DF790F319DB838FCE55497CC838CC	Mathias Sandorf	Jules Verne	U	Jules Verne II
B23CC3DF02D5B9218F82D94E9BB15C6F	The Carpathian Castle	Jules Verne	R	Jules Verne II
BD73D7DFC1BE32A7977E21A741EE6C03	The Steam House	Jules Verne	R	Jules Verne II
222752C1F484F209A4A961B7D0297ADD	The Child of the Cavern	Jules Verne	SR	Jules Verne II
6BC460A2C24A2E1FE7B56092B7208446	Romeo and Juliet	William Shakespeare	C	Shakespeare I
A0306D3E7FF0AD822EE5030957BA2FA5	Macbeth	William Shakespeare	C	Shakespeare I
250175CA2B00789F6839839E53261578	Hamlet	William Shakespeare	C	Shakespeare I
8CBFC28BAD5FEA89465151FCD48B9D8C	Othello	William Shakespeare	C	Shakespeare I
961A7A6E65F1216E2B9CF452E9E04F48	The Tempest	William Shakespeare	U	Shakespeare I
0D10ADDE69E8084256FEA76B22F99F7D	Julius Caesar	William Shakespeare	U	Shakespeare I
95E10DBFC65BFD93D2B28B3998048012	A Midsummer Night's Dream	William Shakespeare	U	Shakespeare I
FBFC6A7F16E81B74755C0E2817D0F2E6	King Lear	William Shakespeare	R	Shakespeare I
BF7017531D9B8F5ECF3166489E6EBFDF	Twelfth Night	William Shakespeare	R	Shakespeare I
A3DCAE8A5E872ED93D7A3F1F0973FF22	The Merchant of Venice	William Shakespeare	SR	Shakespeare I
5ABC62250A7543E5922875E0C0AA3A02	Richard III	William Shakespeare	C	Shakespeare II
41477915DD22593155F2EF2B8DE24FCE	Much Ado About Nothing	William Shakespeare	C	Shakespeare II
FE8DABFA775A86625B63A9306328B41B	As You Like It	William Shakespeare	C	Shakespeare II
77CD1854103D929B9C21C931002E5F67	The Taming of the Shrew	William Shakespeare	C	Shakespeare II
CBBE2337B5D200D9C9F71218B84C90A5	The Winter's Tale	William Shakespeare	U	Shakespeare II
D8644C51D4EE50F165622A76AC9D22A6	Antony and Cleopatra	William Shakespeare	U	Shakespeare II
B4735D72F033114DC5647977A9CB7CAC	Richard II	William Shakespeare	U	Shakespeare II
84480CDC05E31429A1DCDED2A8796973	Measure for Measure	William Shakespeare	R	Shakespeare II
2AEB36C79A75547F64A0EE162F9210ED	The Comedy of Errors	William Shakespeare	R	Shakespeare II
18B77DDD760F8A596EE759C78547634C	Titus Andronicus	William Shakespeare	SR	Shakespeare II
13C906C3BACA07079216210AAD731951	All's Well That Ends Well	William Shakespeare	C	Shakespeare III
189F5A493F4EA995DF85D65474CF9C13	King John	William Shakespeare	C	Shakespeare III
6C1410C22A78C7624AD8424A56F23896	Coriolanus	William Shakespeare	C	Shakespeare III
A273D3D68B17C40FF81A72BF991056CD	Cymbeline	William Shakespeare	C	Shakespeare III
0DAEB20EDAA79FB643B8210757A0303A	The Merry Wives of Windsor	William Shakespeare	U	Shakespeare III
FA64DA13D84FFD2CD389389F1BD04FAA	Love's Labour's Lost	William Shakespeare	U	Shakespeare III
AAC5D1E31E3E76CE50E935F7A1721708	Pericles	William Shakespeare	U	Shakespeare III
35297B4D59345EC58501F7F1375FA9DA	The Two Gentlemen of Verona	William Shakespeare	R	Shakespeare III
BA5D9602230C1F9CBAE60E933AC9A223	Timon of Athens	William Shakespeare	R	Shakespeare III
C76D28366907CF99CBAC898F018A81E7	Troilus and Cressida	William Shakespeare	SR	Shakespeare III
DC76AF05354D1033B73A9BB7E767E9D4	The Raven	Edgar Allan Poe	C	Edgar Allen Poe
5F789B0A98C3B5899E22C84C986E3ADB	The Fall of the House of Usher	Edgar Allan Poe	U	Edgar Allen Poe
57B1E5EF14083F3444FA89B6CBF2274F	The Cask of Amontillado	Edgar Allan Poe	R	Edgar Allen Poe
6D77912CF81B9A6915EAB537FEAD2FC1	The Masque of the Red Death	Edgar Allan Poe	SR	Edgar Allen Poe
9242E7B21E6BFD8D115D7D8D949462AC	Alice's Adventures in Wonderland	Lewis Carroll	C	Lewis Carrol
F69D4997F960F15BCB33EDFEEEE7B39E	Through the Looking-Glass	Lewis Carroll	C	Lewis Carrol
BFA0197644114B5F70132726D69D71DC	Jabberwocky	Lewis Carroll	U	Lewis Carrol
59600266F656AE87E0763252C4D651F5	The Hunting of the Snark	Lewis Carroll	U	Lewis Carrol
EC063636AF78DEA35706510671C25EF0	Sylvie and Bruno	Lewis Carroll	R	Lewis Carrol
34680A5875F14966DA9A954D7BF0FC4C	The Game of Logic	Lewis Carroll	SR	Lewis Carrol
4629FB413762BB3EB02E271D62C09FDD	Middlemarch	George Eliot	C	George Eliot
DAD836AABA76B7E3F6D1ACC6B6557D50	Silas Marner	George Eliot	C	George Eliot
14A75EB2ECAFFCED90DFDA2E513A730D	The Mill on the Floss	George Eliot	U	George Eliot
781AFE43B412BAE76F2D7189FE180A76	Adam Bede	George Eliot	U	George Eliot
32A45B1AD0AE19F38B7722D79FFA58F9	Daniel Deronda	George Eliot	U	George Eliot
AA35CCF0D519DFFD0C4AA812BCD193BB	Romola	George Eliot	R	George Eliot
7E2537824551D1081230065EE2C2D62B	Scenes of Clerical Life	George Eliot	R	George Eliot
1D4669CD592E40488FAFD95607DE2FDB	Felix Holt, the Radical	George Eliot	SR	George Eliot
C9040D7D712A6250ECA30B775862F0AC	The Lady with the Dog	Anton Chekhov	U	Chekhov
5921CD00388502209A586026B5CCA495	The Bet	Anton Chekhov	U	Chekhov
BEE2F7F4B1F5D9DA67BA11D508306A74	The House with the Mezzanine	Anton Chekhov	R	Chekhov
FD47671887430FE8A0343890285E697B	The Black Monk	Anton Chekhov	SR	Chekhov
01E6C020884A521F6895CF4631D07B8D	Divine Comedy	Dante Alighieri	C	Dante Alighieri
1DA42394ABB6E4462B9BEF7144C786D0	La Vita Nuova	Dante Alighieri	R	Dante Alighieri
E6B7C23C609AAB4755F660FEC0F8229D	The Three Musketeers	Alexandre Dumas	C	Dumas
CF8D774E76F0E693F4935613431B34D5	The Count of Monte Cristo	Alexandre Dumas	C	Dumas
5577E1EBA9C79E1FBC87C6A4DB013AE3	The Vicomte of Bragelonne	Alexandre Dumas	U	Dumas
F1B99B6DB7F94FCAF8F1B1EC6D6775BB	Twenty Years After	Alexandre Dumas	R	Dumas
4C41CAD95644B0DF68D17ACCCCF221CE	The Black Tulip	Alexandre Dumas	R	Dumas
A1237FBF1B780197313AB27128C2CF66	The Turn of the Screw	Henry James	C	Henry James
AF5F785C9E854D6B88EC693681406E54	The Portrait of a Lady	Henry James	C	Henry James
5BE0DD908CEB9AD57213FBB94BDE5694	The American	Henry James	U	Henry James
F91A6E48E49C78D33C53A9E2A167CE0F	Daisy Miller	Henry James	U	Henry James
D3D767E4795C9CF1EA24BB01D17C0B85	The Ambassadors	Henry James	U	Henry James
2C9364E1CF0849C5F7F3640F86B01C3A	The Wings of the Dove	Henry James	R	Henry James
55A7091F075B78A41DACE9FB5C1E7D81	Washington Square	Henry James	R	Henry James
057893A394C51E571B11974082654F44	The Golden Bowl	Henry James	SR	Henry James
9458E653676FB33F77324F4C778CDDBA	The Odyssey	Homer	C	Homer
7FF9548E97AA0C674B8C7B779483276D	The Iliad	Homer	C	Homer
BF6B275885D571E52F26AD9E705FCD55	Les Misérables	Victor Hugo	C	Victor Hugo
DB148E59A3E58AE04A1DDFC1BC20F7EF	The Hunchback of Notre Dame	Victor Hugo	C	Victor Hugo
BA38A83053B8D58B6C5186B7352B9CE2	The Man Who Laughs	Victor Hugo	U	Victor Hugo
33905AC771B77C53E332DDE8B6719871	The Last Day of a Condemned Man	Victor Hugo	R	Victor Hugo
6FFC82536075DFD759A7DDF123ACDD42	Ninety-Three	Victor Hugo	SR	Victor Hugo
57549E83571B4AA33329199B510B1896	The Republic	Plato	C	Plato
3596B9D048ADA0ACD95439A9983E5B09	Symposium	Plato	C	Plato
041FC6E1576D877EBDA9AE4C941C1FE6	Apology	Plato	C	Plato
E04DD82317ED42A8E20DF736ADD19AA4	Laws	Plato	U	Plato
A37D9866615D6F991634D994897CD768	Phaedo	Plato	R	Plato
CF49F6760B9951341DC49AF7C71C0A94	Crito	Plato	SR	Plato
B2D1D2348DCC240995A64CCB668997CD	Don Quixote	Miguel de Cervantes	C	Cervantes
4FEB0BE7AAC91671BE414A8DBD58B2AF	La Galatea	Miguel de Cervantes	R	Cervantes
22AA3753771142039DB62D57D6AF966D	La Gitanilla	Miguel de Cervantes	SR	Cervantes
FA9694EAF9711F18146083439EE446B5	The Adventures of Sherlock Holmes	Arthur Conan Doyle	C	A.C. Doyle
82F4DF766C92A5490EB44D8BFB2B4EB7	The Lost World	Arthur Conan Doyle	C	A.C. Doyle
1242DCF68908CB122BC9B2B1A649D15A	The Adventure of the Cardboard Box	Arthur Conan Doyle	U	A.C. Doyle
BCC9C4774863885067BA78905C3C3B33	The Adventure of the Dying Detective	Arthur Conan Doyle	U	A.C. Doyle
96D2349255E6409928E75C4BAF9287E7	The Adventure of Wisteria Lodge	Arthur Conan Doyle	U	A.C. Doyle
AB0E44CE724D8560122F622B399A65C7	The Sign of the Four	Arthur Conan Doyle	R	A.C. Doyle
CB54E27B541506C9CF2BE7758A8AAE12	His Last Bow	Arthur Conan Doyle	R	A.C. Doyle
3628B0FE53BC1CCD2BFBE854B98C18A1	The White Company	Arthur Conan Doyle	SR	A.C. Doyle
B412CB72280B57F81490200E7D6D27A9	The Hound of the Baskervilles	Arthur Conan Doyle	C	A.C. Doyle
4E77948B78258929A15055828A306525	A Study in Scarlet	Arthur Conan Doyle	C	A.C. Doyle
2E3F53309552D7F4025781CB72A074B5	The Return of Sherlock Holmes	Arthur Conan Doyle	U	A.C. Doyle
7DB6BA919A6CD244EB0DFD7D06454F45	The Adventure of the Bruce-Partington Plans	Arthur Conan Doyle	U	A.C. Doyle
FC93781364B5F71C2BBD365BCFB4420D	The Adventure of the Devil's Foot	Arthur Conan Doyle	U	A.C. Doyle
C73CBA6A3F3468DEB4A236F2963A435B	The Adventure of the Red Circle	Arthur Conan Doyle	U	A.C. Doyle
071F2D188B18C1A34260F4E6873B9A30	The Valley of Fear	Arthur Conan Doyle	R	A.C. Doyle
2213EA08C7886CBE9DE7CD78FB0A0CAA	Sir Nigel	Arthur Conan Doyle	SR	A.C. Doyle
78F73B98D982FBA09D347B6627FAE933	The Sorcerer's Apprentice	Johann Wolfgang von Goethe	C	Goethe
19B3D0337AAF6B912BA05D9F2A420415	The Sorrows of Young Werther	Johann Wolfgang von Goethe	U	Goethe
2545967C9CCDD0DF8B42D9ABCE9C2552	Theory of Colours	Johann Wolfgang von Goethe	R	Goethe
1E657C2AAEB6E60ABA4B48F73878475A	Prometheus	Johann Wolfgang von Goethe	SR	Goethe
66CB03AC96D743367FE80E3A85FB082E	Treasure Island	Robert Louis Stevenson	C	R.L. Stevenson
A14C697C442F2E6FF448A74D15530874	The Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	C	R.L. Stevenson
B0EFDA5F1C3608E8FCB84D0BBD58B474	New Arabian Nights	Robert Louis Stevenson	C	R.L. Stevenson
7E91380B31FB278DFFE68BA0D729E43C	Kidnapped	Robert Louis Stevenson	C	R.L. Stevenson
CB97FA3EDF93B2120E9F41DD612F4BB7	The Black Arrow: A Tale of Two Roses	Robert Louis Stevenson	C	R.L. Stevenson
626259EF898B3AC2D68D2A4A34486D27	A Child's Garden of Verses	Robert Louis Stevenson	U	R.L. Stevenson
5BE562B038E781345C21416B0AB234E7	Travels with a Donkey in the Cévennes	Robert Louis Stevenson	U	R.L. Stevenson
57CB93F5E02A916B1F9570B810C5518D	The Master of Ballantrae	Robert Louis Stevenson	U	R.L. Stevenson
343E85289E1BD281EF7618301009C2C5	Catriona	Robert Louis Stevenson	R	R.L. Stevenson
53BC98DCB15684DEFE0A8793CA330108	Weir of Hermiston	Robert Louis Stevenson	R	R.L. Stevenson
608749979F1A1C51A830527DFDE2D6CE	Prince Otto	Robert Louis Stevenson	R	R.L. Stevenson
173A0D7278866EAA1F5646F14A35C3AA	The Wrong Box	Robert Louis Stevenson	SR	R.L. Stevenson
2F065171B9E38D2438448EE54B8DA7A4	Civil Disobedience	Henry David Thoreau	C	Thoreau
77387236ACBEB54AFB06925426B06679	Walden; or, Life in the Woods	Henry David Thoreau	C	Thoreau
87A8622B0FB5C5BD42D9595249740804	The Maine Woods	Henry David Thoreau	U	Thoreau
77573EC1709A7D8B5957C0C894004F7E	A Week on the Concord and Merrimack Rivers	Henry David Thoreau	R	Thoreau
6FD1D4F2EA566EC40D2D5C14A3612D48	Cape Cod	Henry David Thoreau	SR	Thoreau
A579C8E437366933B513B0E571F77553	Leaves of Grass 	Walt Whitman	U	Walt Whitman
04A531325117074311776ADE460CE5D8	Drum-Taps	Walt Whitman	R	Walt Whitman
7B41E30047BF7A94261F3BDE66CA78A1	The Tortoise and the Hare	Aesop	C	Aesop I
A1CEF54822C0DB07A7EECD18E6505B03	The Lion and the Mouse	Aesop	C	Aesop I
CF6025943D9833CCD62582951553F13D	The Ant and the Grasshopper	Aesop	C	Aesop I
3DCF98B04FFBED743564983066A3F43D	The Fox and the Grapes	Aesop	C	Aesop I
6B282BDAE6B8B8DE7C3D0D3BF43DD26D	The Fox and the Crow	Aesop	C	Aesop I
E7F7BC4B08CDB5F8D7C404FF06EF2EE6	The Fox and the Sick Lion	Aesop	U	Aesop I
77FDAF7A0285F121B7FF482E289E49BD	The Snake and the Farmer	Aesop	U	Aesop I
D3A8A7493BABA060CC06809A5D29CAA5	The Eagle and the Fox	Aesop	U	Aesop I
617622206ADCBF73466F3903F80E6D93	The Frog and the Ox	Aesop	U	Aesop I
A36D4B228883465FCBBE03862147F49E	The Ass in the Lion's Skin	Aesop	R	Aesop I
50E41B2177586BEDDF9AFCC9AF42E874	The Farmer and his Sons	Aesop	R	Aesop I
F60F7F8105010DD27AF10BC88092D919	The Man with Two Mistresses	Aesop	SR	Aesop I
24552798DB764B3EB3CFF38603A6399B	The Boy Who Cried Wolf	Aesop	C	Aesop II
3E45CD2231CCFAF32C4B6C9FA89D48EB	The Goose that Laid the Golden Eggs	Aesop	C	Aesop II
1FD1B0348D8724A32429B34307B65E9C	The Town Mouse and the Country Mouse	Aesop	C	Aesop II
5D54F054213C891427E92BF72AC79AD1	The North Wind and the Sun	Aesop	C	Aesop II
F67EC47EEE017B6CD467522EB6CBBAA1	The Dog and Its Reflection	Aesop	C	Aesop II
BD909429DF45D9E51DC2943582241865	The Mischievous Dog	Aesop	U	Aesop II
DD162143787FC73032E2E4FF072F43D6	The Astrologer who Fell into a Well	Aesop	U	Aesop II
CC145F5A254951931BB8B444A7802590	The Bird in Borrowed Feathers	Aesop	U	Aesop II
16949925088F2DD34BB8C70EA42E6EBA	The Oak and the Reed	Aesop	U	Aesop II
22A93F51C8AEC86C857AB037FDCBDBB7	The Farmer and the Stork	Aesop	R	Aesop II
48417EAF906600A1AED49EF8C2471E23	The Frog and the Mouse	Aesop	R	Aesop II
80E975ED730D839EF062E10AB91C4F62	The Satyr and the Traveller	Aesop	SR	Aesop II
50D73ADBA6E0884A263C242E399FC686	The Crow and the Pitcher	Aesop	C	Aesop III
7BC115C48C17ADD5E5385BE0B242B865	The Dove and the Ant	Aesop	C	Aesop III
805110275CAD2EBCB63497E509D319A6	The Bear and the Travelers	Aesop	C	Aesop III
